"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0.0615462962962967
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0.580246746746746
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,1.66192992992993
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,2.84972222222222
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,3.36
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,3.85730980980981
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,5.33590590590591
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,6.25863863863864
2026-02-28,"charleston",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,6.61070545545546
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0.317810810810811
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,1.1614954954955
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,2.60352602602603
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,3.36
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,4.09501751751752
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,5.73958258258258
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,6.47238038038038
2026-02-28,"charleston",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,6.95460410410411
2026-02-28,"cherokee",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0.255588588588588
2026-02-28,"cherokee",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,1.699
2026-02-28,"cherokee",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,2.72428828828829
2026-02-28,"cherokee",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,3.53996246246246
2026-02-28,"cherokee",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,3.69
